memory profiling: sample.interval=20000
:2029734:102642194:128773064:0:"hook" "Rprof" 
:2049158:102650731:133460320:1751:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049158:102650731:133460320:0:"my.sum" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
:2049168:102650731:133461328:0:"sq.var" "sampvar" 
